[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:24:08.201558 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:24:08.201627 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:24:08.201686 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:24:09.412582 Received ListDirReq: dirName:"test"  pathName:"./filetest/"
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:27:03.004912 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:27:03.005220 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:27:03.005679 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:27:09.183033 Received ListDirReq: dirName:"test"  pathName:"./filetest/"
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:27:43.609668 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:27:43.609979 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:27:43.610318 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:28:00.329719 Received ListDirReq: dirName:"test"  pathName:"./filetest/"
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:29:06.161515 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:29:06.161601 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:29:06.161641 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:29:08.629269 Received ListDirReq: dirName:"test" pathName:"./filetest/"
[pearviewer/server/service:ListDir] | INFO : dir.go:115: 2025/06/26 17:29:08.629695 List dir created
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:31:31.465773 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:31:31.465896 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:31:31.465939 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:31:35.320380 Received ListDirReq: dirName:"test" pathName:"./filetest/"
[pearviewer/server/service:ListDir] | INFO : dir.go:115: 2025/06/26 17:31:35.320621 List dir created
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:36:37.957136 Received ListDirReq: dirName:"test" pathName:"./filetest/"
[pearviewer/server/service:ListDir] | INFO : dir.go:115: 2025/06/26 17:36:37.957328 List dir created
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/26 17:43:50.006366 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/26 17:43:50.006441 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/26 17:43:50.006508 Conf loaded
[pearviewer/server/grpc:(*dirServer).ListDir] | INFO : dir.go:59: 2025/06/26 17:44:32.939070 Received ListDirReq: dirName:"test" pathName:"./filetest/"
[pearviewer/server/service:ListDir] | INFO : dir.go:115: 2025/06/26 17:44:32.939269 List dir created
[pearviewer/server/conf:GetConf] | INFO : conf.go:18: 2025/06/27 11:08:32.723814 Reading conf
[pearviewer/server/conf:GetConf] | INFO : conf.go:26: 2025/06/27 11:08:32.724106 Parsing json conf
[main:main] | INFO : main.go:19: 2025/06/27 11:08:32.724143 Conf loaded
[pearviewer/server/grpc:(*fileServer).UploadFile] | INFO : file.go:12: 2025/06/27 11:08:34.523343 New Upload File Streaming started.
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.523579 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.523755 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.523856 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.523986 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524037 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524131 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524184 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524241 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524278 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524329 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524358 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524404 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524433 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524475 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524502 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524568 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524607 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.524666 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.524970 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525025 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525059 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525108 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525136 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525193 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525228 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525285 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525314 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525365 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525391 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525443 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525469 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525514 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525558 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525616 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525654 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525706 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525751 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525805 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525890 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.525947 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.525996 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526049 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526085 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526139 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526168 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526214 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526244 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526310 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526355 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526419 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526451 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526493 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526520 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526568 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526601 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526655 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526693 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526751 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526787 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526841 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526875 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.526929 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.526966 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527018 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527057 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527137 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527186 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527243 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527288 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527336 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527362 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527403 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527431 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527496 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527543 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527593 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527622 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527674 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527769 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527820 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527853 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527899 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.527930 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.527989 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.528027 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.528128 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.528157 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.528198 File Chunk written: test.txt
[pearviewer/server/service:UploadFileChunk] | INFO : file.go:18: 2025/06/27 11:08:34.528223 Upload file chunk start for: 
[pearviewer/server/service:writeFileChunk] | INFO : file.go:136: 2025/06/27 11:08:34.528272 File Chunk written: test.txt
